Establishment Name,Inspection Date,Severity,Latitude,Longitude,Infraction Details
AMMA MOMO HOUSE,2024-05-10,C - Crucial,43.6738,-79.2828,Store potentially hazardous foods at internal temperature between 4 C and 60 C - Sec. 27(1)
AMOR A LA MEXICANA,2024-01-11,C - Crucial,43.75125,-79.55202,Fail to ensure food handler in food premise washes hands as necessary to prevent contamination of food - Sec. 33(1)(e) 
AMPLE FOOD MARKET,2023-10-10,C - Crucial,43.68162,-79.47451,Display potentially hazardous foods at internal temperature between 4 C and 60 C - Sec. 27(1)
AMTU  DISCOUNT &CONVENIENCE,2023-10-23,C - Crucial,43.68087,-79.28637,Fail to ensure storage racks designed to protect against contamination - Sec. 31
ANEJO RESTAURANT,2022-10-27,C - Crucial,43.73412,-79.34562,Hot-holding potentially hazardous foods at internal temperature below 60 C - Sec. 30(a)
ANIMAL LIBRATION KITCHEN,2023-07-28,C - Crucial,43.65813,-79.35019,Store potentially hazardous foods at internal temperature between 4 C and 60 C - Sec. 27(1)
ANJAPPAR CHETTINAD,2022-07-22,C - Crucial,43.74176,-79.2269,Store potentially hazardous foods at internal temperature between 4 C and 60 C - Sec. 27(1)
ANNALAKSHMI,2022-08-10,C - Crucial,43.64475,-79.39172,Fail to protect food from contamination or adulteration - Sec. 26(1) 
ANNALAKSHMI,2023-09-22,C - Crucial,43.64475,-79.39172,Fail to protect food from contamination or adulteration - Sec. 26(1) 
ANOUSH MIDDLE EASTERN CUISINE,2023-10-04,C - Crucial,43.64341,-79.39119,Fail to protect food from contamination or adulteration - Sec. 26(1) 
ANTHONY'S CAFE,2022-09-09,C - Crucial,43.72385,-79.33731,Maintain potentially hazardous foods at internal temperature between 4 C and 60 C -  Sec. 27(1)
ANTONIO PARK RESTAURANT,2023-05-24,C - Crucial,43.66964,-79.38869,Refrigerate potentially hazardous foods at internal temperature above 4 C - Sec. 30(a)
APOTEX JEWISH HOME FOR THE AGED,2024-01-19,C - Crucial,43.73006,-79.43415,Fail to protect food from contamination or adulteration - Sec. 26(1) 
APOTEX JEWISH HOME FOR THE AGED,2024-01-19,C - Crucial,43.73006,-79.43415,Store potentially hazardous foods at internal temperature between 4 C and 60 C - Sec. 27(1)
APOTEX JEWISH HOME FOR THE AGED,2024-01-19,C - Crucial,43.73006,-79.43415,Refrigerate potentially hazardous foods at internal temperature above 4 C - Sec. 30(a)
ARAMARK CANADA,2022-10-12,C - Crucial,43.78206,-79.24233,Refrigerate potentially hazardous foods at internal temperature above 4 C - Sec. 30(a)
ARIAM CAFE,2024-04-25,C - Crucial,43.68195,-79.3312,Fail to protect food from contamination or adulteration - Sec. 26(1) 
ARIZONA B-BAR & GRILL,2023-03-29,C - Crucial,43.68347,-79.59246,Maintain potentially hazardous foods at internal temperature between 4 C and 60 C -  Sec. 27(1)
ARMENIAN KITCHEN,2022-08-03,C - Crucial,43.73093,-79.30585,Fail to ensure food handler in food premise washes hands as necessary to prevent contamination of food - Sec. 33(1)(e) 
ARMENIAN KITCHEN,2023-10-24,C - Crucial,43.73093,-79.30585,Fail to ensure food handler in food premise washes hands as necessary to prevent contamination of food - Sec. 33(1)(e) 
AROMA ESPRESSO BAR,2022-08-24,C - Crucial,43.70716,-79.39908,Refrigerate potentially hazardous foods at internal temperature above 4 C - Sec. 30(a)
AROMA ESPRESSO BAR,2023-07-18,C - Crucial,43.70716,-79.39908,Refrigerate potentially hazardous foods at internal temperature above 4 C - Sec. 30(a)
