Establishment Name,Inspection Date,Severity,Latitude,Longitude,Infraction Details
ASIAN GOURMET,2024-03-11,C - Crucial,43.71692503000754,-79.4470752326398,Fail to protect food from contamination or adulteration - Sec. 26(1) 
ASIAN GOURMET,2024-03-11,C - Crucial,43.71712930535435,-79.44764672554186,Store potentially hazardous foods at internal temperature between 4 C and 60 C - Sec. 27(1)
ASIAN GOURMET,2024-03-11,C - Crucial,43.71665975704172,-79.44782170901074,Fail to ensure food handler in food premise washes hands as necessary to prevent contamination of food - Sec. 33(1)(e) 
ASIAN LEGEND,2024-03-11,C - Crucial,43.726957598995874,-79.34168397664237,Maintain potentially hazardous foods at internal temperature between 4 C and 60 C -  Sec. 27(1)
ASIAN LEGEND,2024-03-11,C - Crucial,43.727295585611174,-79.34219718103975,Fail to ensure food handler in food premise washes hands as necessary to prevent contamination of food - Sec. 33(1)(e) 
ASMERA BAR AND RESTAURANT,2024-04-18,C - Crucial,43.68207589621269,-79.33184742479598,Fail to protect food from contamination or adulteration - Sec. 26(1) 
ASTORIA,2024-01-31,C - Crucial,43.67835839928877,-79.3515826658693,Fail to protect food from contamination or adulteration - Sec. 26(1) 
ASTRO VARIETY & GIFTS,2023-02-03,C - Crucial,43.70790123837299,-79.45340175329503,Fail to ensure room kept free from live birds or animals - Sec. 14(1)
AU PAIN DORE,2023-04-20,C - Crucial,43.64800088278374,-79.38023686187418,Store potentially hazardous foods at internal temperature between 4 C and 60 C - Sec. 27(1)
AU PAIN DORE,2023-11-10,C - Crucial,43.662559604848795,-79.3861788746407,Fail to protect food from contamination or adulteration - Sec. 26(1) 
AYOKA-ADE AFRICAN DELICACIES INC,2024-01-11,C - Crucial,43.75102585399808,-79.5521520277185,Fail to protect food from contamination or adulteration - Sec. 26(1) 
AYOKA-ADE AFRICAN DELICACIES INC,2024-01-11,C - Crucial,43.751235258698976,-79.55221486580498,Fail to ensure food handler in food premise washes hands as necessary to prevent contamination of food - Sec. 33(1)(e) 
Ababeel Supermarket,2022-09-15,C - Crucial,43.691435442552574,-79.28952828516472,Food premise maintained in manner permitting adverse effect on food - Sec. 7(1)(a)(iii) 
Adonna's Residential Support Care Inc.,2023-02-14,C - Crucial,43.75372756819782,-79.24983865073276,Store potentially hazardous foods at internal temperature between 4 C and 60 C - Sec. 27(1)
Al-Nour Halal Meat and Grocery,2024-04-16,C - Crucial,43.794271561189916,-79.23556855342493,Refrigerate potentially hazardous foods at internal temperature above 4 C - Sec. 30(a)
